preco,condominio,tamanho_m2,quartos,banheiros,vagas,bairro
376000,950,100.0,3.0,2.0,1.0,méier
220000,400,85.0,2.0,2.0,1.0,lins de vasconcelos
895000,1100,120.0,4.0,3.0,2.0,andaraí
2200000,1756,133.0,3.0,3.0,1.0,copacabana
450000,750,90.0,2.0,2.0,1.0,méier
230000,0,100.0,2.0,1.0,1.0,guaratiba
1299000,1200,105.0,4.0,3.0,2.0,tijuca
2990000,2342,220.0,4.0,4.0,2.0,flamengo
600000,360,189.0,5.0,5.0,2.0,taquara
185000,215,76.0,2.0,2.0,1.0,santa cruz
180000,0,35.0,2.0,1.0,1.0,tijuca
850000,1180,115.0,3.0,2.0,2.0,maracanã
750000,0,600.0,5.0,4.0,3.0,bangu
950000,1729,111.0,3.0,4.0,2.0,laranjeiras
275000,699,59.0,2.0,2.0,1.0,freguesia
157000,170,50.0,2.0,1.0,1.0,irajá
350000,1100,110.0,3.0,3.0,1.0,vila isabel
850000,470,146.0,4.0,3.0,3.0,todos os santos
270000,696,70.0,3.0,2.0,1.0,taquara
1600000,1900,155.0,4.0,3.0,1.0,copacabana
750000,1000,100.0,3.0,2.0,1.0,copacabana
440000,600,66.0,2.0,2.0,1.0,jacarepaguá
990000,810,64.0,2.0,2.0,1.0,botafogo
2990000,1678,128.0,3.0,3.0,1.0,leblon
290000,520,66.0,2.0,3.0,1.0,taquara
1200000,996,75.0,2.0,2.0,1.0,ipanema
750000,800,177.0,2.0,3.0,2.0,pechincha
4999999,1700,170.0,4.0,4.0,2.0,botafogo
2184000,0,120.0,3.0,3.0,2.0,botafogo
859000,1250,108.0,2.0,1.0,1.0,copacabana
490000,250,166.0,3.0,3.0,1.0,pechincha
275000,663,52.0,2.0,2.0,1.0,vila isabel
448000,900,98.0,4.0,3.0,2.0,campo grande
2100000,1544,200.0,4.0,5.0,3.0,barra da tijuca
480000,0,55.0,2.0,1.0,1.0,tijuca
310000,0,65.0,2.0,2.0,1.0,tanque
365000,580,63.0,2.0,2.0,1.0,pechincha
1280000,1865,55.0,1.0,1.0,2.0,barra da tijuca
380000,530,48.0,2.0,2.0,1.0,irajá
3000000,3295,85.0,2.0,2.0,1.0,ipanema
100000,230,45.0,2.0,1.0,1.0,campo grande
570000,800,68.0,2.0,2.0,1.0,jacarepaguá
980000,0,240.0,3.0,4.0,2.0,jardim guanabara
250000,390,36.0,1.0,1.0,1.0,jacarepaguá
329000,1050,83.0,3.0,3.0,1.0,méier
325000,650,98.0,2.0,2.0,1.0,engenho novo
470000,580,65.0,2.0,1.0,1.0,centro
190000,420,50.0,2.0,1.0,1.0,campo grande
1850000,1362,82.0,3.0,2.0,1.0,leblon
1200000,1440,116.0,3.0,3.0,2.0,barra da tijuca
180000,200,56.0,2.0,1.0,1.0,praça seca
900000,890,77.0,2.0,2.0,1.0,copacabana
140000,0,61.0,2.0,1.0,1.0,rocha miranda
1260000,1400,114.0,2.0,2.0,1.0,copacabana
3000000,1540,140.0,4.0,2.0,1.0,laranjeiras
1000000,931,232.0,4.0,5.0,3.0,itanhangá
866000,0,86.0,2.0,2.0,1.0,barra da tijuca
2350000,1932,140.0,4.0,3.0,2.0,barra da tijuca
369000,590,79.0,2.0,2.0,1.0,andaraí
2950000,2500,207.0,5.0,4.0,2.0,são conrado
1100000,790,68.0,2.0,2.0,2.0,catete
845000,1500,88.0,1.0,1.0,1.0,barra da tijuca
230000,443,98.0,2.0,2.0,1.0,rio comprido
390000,800,65.0,2.0,2.0,1.0,vila isabel
1500000,0,440.0,4.0,4.0,4.0,moneró
207000,100,68.0,2.0,2.0,1.0,campo grande
590000,705,70.0,2.0,1.0,1.0,centro
225000,530,52.0,1.0,1.0,1.0,cachambi
2000000,0,203.0,4.0,4.0,3.0,alto da boa vista
1400000,840,100.0,3.0,1.0,1.0,laranjeiras
1490000,800,300.0,4.0,4.0,2.0,vila valqueire
730000,1037,92.0,2.0,2.0,1.0,laranjeiras
850000,1300,73.0,1.0,1.0,1.0,barra da tijuca
479999,270,110.0,3.0,3.0,1.0,jacarepaguá
2400000,1200,103.0,3.0,3.0,2.0,botafogo
360000,0,190.0,2.0,2.0,1.0,campo grande
1389000,1389,106.0,3.0,2.0,1.0,botafogo
480000,870,79.0,2.0,2.0,1.0,grajaú
3500000,0,561.0,4.0,6.0,4.0,recreio dos bandeirantes
520000,650,110.0,3.0,3.0,1.0,cachambi
3000000,350,440.0,3.0,4.0,2.0,recreio dos bandeirantes
960000,772,160.0,3.0,3.0,2.0,vila isabel
780000,874,64.0,2.0,3.0,1.0,barra da tijuca
560000,800,70.0,2.0,2.0,1.0,freguesia
1150000,700,250.0,3.0,3.0,3.0,jacarepaguá
593000,0,78.0,3.0,2.0,1.0,tijuca
450000,50,163.0,2.0,2.0,2.0,realengo
380000,0,74.0,2.0,1.0,1.0,cascadura
850000,1250,85.0,3.0,2.0,1.0,laranjeiras
1720000,1347,120.0,3.0,3.0,2.0,laranjeiras
1800000,1800,190.0,4.0,2.0,1.0,flamengo
380000,170,110.0,2.0,4.0,1.0,curicica
400000,0,138.0,2.0,2.0,1.0,vila valqueire
