endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Guajaratuba, 5 - Tijuca, Rio de Janeiro - RJ",650.000,600,"
                135
              ","3
","2
","--
"
"Rua Alzira Brandão - Tijuca, Rio de Janeiro - RJ",530.000,562,"
                74
              ","2
","2
","--
"
"Rua Rego Lópes, 50 - Tijuca, Rio de Janeiro - RJ",580.000,1.000,"
                76
              ","2
","3
","1
"
"Rua Araújo Leitão, 607 - Engenho Novo, Rio de Janeiro - RJ",170.000,800,"
                55
              ","3
","1
","1
"
"Rua Joaquim Pinheiro, 103 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",395.000,707,"
                70
              ","2
","2
","1
"
"Rua Baronesa de Poconé - Lagoa, Rio de Janeiro - RJ",2.700.000,,"
                197
              ","4
","5
","2
"
"Avenida Monsenhor Ascaneo - Barra da Tijuca, Rio de Janeiro - RJ",2.990.000,2.300,"
                257
              ","4
","5
","2
"
"Praia do Flamengo, 6 - Flamengo, Rio de Janeiro - RJ",R$,,"
                37-71
              ","1
","1
","1
"
"Rua Presidente Carlos de Campos, 183 - Laranjeiras, Rio de Janeiro - RJ",1.350.000,1.143,"
                108
              ","2
","3
","1
"
"Avenida Embaixador Abelardo Bueno, 600 - Barra da Tijuca, Rio de Janeiro - RJ",850.000,,"
                102
              ","3
","4
","2
"
"Rua Capitão Resende, 206 - Cachambi, Rio de Janeiro - RJ",289.000,390,"
                107
              ","3
","2
","--
"
"Rua Rego Lópes, 88 - Tijuca, Rio de Janeiro - RJ",500.000,300,"
                90
              ","3
","2
","--
"
"Rua Anchieta, 26 - Leme, Rio de Janeiro - RJ",575.000,682,"
                40
              ","1
","1
","--
"
"Avenida Dom Hélder Câmara, 6001 - Cachambi, Rio de Janeiro - RJ",432.000,700,"
                86
              ","3
","2
","2
"
"Rua Riachuelo, 366 - Centro, Rio de Janeiro - RJ",169.000,,"
                27-202
              ","--
","--
","--
"
"Rua Joaquim Nabuco, 92 - Ipanema, Rio de Janeiro - RJ",2.800.000,1.870,"
                210
              ","4
","4
","1
"
"Praia do Catimbau, 141 - Paquetá, Rio de Janeiro - RJ",1.800.000,,"
                370
              ","5
","4
","--
"
"Rua Mário Covas Júnior, 190 - Barra da Tijuca, Rio de Janeiro - RJ",840.000,1.048,"
                90
              ","2
","2
","1
"
"Rua Almirante Baltazar, 189 - São Cristóvão, Rio de Janeiro - RJ",450.000,800,"
                70
              ","2
","2
","1
"
"Rua Coronel Euríco de Sousa Gomes Filho, 515 - Barra da Tijuca, Rio de Janeiro - RJ",1.700.000,1.815,"
                144
              ","3
","2
","2
"
"Rua Pinheiro Guimarães, 149 - Botafogo, Rio de Janeiro - RJ",1.390.000,1.990,"
                115
              ","3
","4
","1
"
"Rua Irineu Marinho, 52 - Centro, Rio de Janeiro - RJ",260.000,,"
                35
              ","1-2
","1
","1
"
"Rua F-W, 37 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",360.000,200,"
                60
              ","2
","1
","1
"
