endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Botafogo, Rio de Janeiro - RJ",3.980.000,2.452,"
                312
              ","4
","2
","1
"
"Tijuca, Rio de Janeiro - RJ",320.000,359,"
                58
              ","2
","2
","--
"
"Rua Francisco Sá - Copacabana, Rio de Janeiro - RJ",750.000,1.110,"
                103
              ","2
","2
","--
"
"Rua Nascimento Silva - Ipanema, Rio de Janeiro - RJ",1.200.000,1.000,"
                110
              ","3
","2
","1
"
"Jardim Oceanico, Rio de Janeiro - RJ",4.700.000,3.200,"
                450
              ","3
","4
","4
"
"Rua Mesquitinha - Barra da Tijuca, Rio de Janeiro - RJ",25.000.000,2.905,"
                1624
              ","6
","9
","10
"
"Avenida Tim Maia - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",700.000,750,"
                91
              ","3
","1
","1
"
"Avenida Nossa Senhora de Copacabana, 876 - Copacabana, Rio de Janeiro - RJ",980.000,1.100,"
                125
              ","3
","1
","1
"
"Avenida Di Cavalcanti, 111 - Barra da Tijuca, Rio de Janeiro - RJ",669.000,999,"
                68
              ","2
","1
","1
"
"Avenida Venezuela, 275 - Santo Cristo, Rio de Janeiro - RJ",405.000,400,"
                51
              ","2
","1
","1
"
"Ipanema, Rio de Janeiro - RJ",1.090.000,945,"
                48
              ","1
","1
","1
"
"Rua Hilário de Gouveia - Copacabana, Rio de Janeiro - RJ",850.000,688,"
                70
              ","2
","3
","1
"
"Rua Theodorino Rodrigues Pereira - Barra da Tijuca, Rio de Janeiro - RJ",3.950.000,1.500,"
                830
              ","7
","12
","5
"
"Rua Nascimento Silva - Ipanema, Rio de Janeiro - RJ",1.050.000,1.037,"
                110
              ","3
","2
","1
"
"Barra da Tijuca, Rio de Janeiro - RJ",4.200.000,2.000,"
                1000
              ","5
","2
","5
"
"Rua Maria Amália - Tijuca, Rio de Janeiro - RJ",436.500,650,"
                61
              ","2
","2
","1
"
"Rua Martins Ribeiro - Flamengo, Rio de Janeiro - RJ",670.000,820,"
                88
              ","3
","2
","1
"
"Rua Jaburana, 10 - Jardim Carioca, Rio de Janeiro - RJ",250.000,400,"
                68
              ","2
","2
","1
"
"Rua Visconde de Silva - Humaitá, Rio de Janeiro - RJ",1.190.000,1.200,"
                101
              ","3
","2
","1
"
"Rua Tenente Franca, 71 - Cachambi, Rio de Janeiro - RJ",435.000,600,"
                66
              ","2
","2
","1
"
"Estrada da Gávea - São Conrado, Rio de Janeiro - RJ",2.850.000,2.617,"
                207
              ","4
","3
","1
"
"Rua Geminiano Gois, 350 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",655.000,890,"
                97
              ","4
","3
","2
"
"Rua Silvia Pozzano - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.359.000,1.850,"
                181
              ","3
","2
","2
"
"Estrada do Realengo - Realengo, Rio de Janeiro - RJ",358.500,,"
                101
              ","2
","4
","1
"
"Rua Benjamim Magalhães - Barra da Tijuca, Rio de Janeiro - RJ",3.299.000,900,"
                315
              ","6
","7
","2
"
"Rua Franz Weissman - Jacarepaguá, Rio de Janeiro - RJ",1.199.000,,"
                122
              ","3
","3
","--
"
"Rua Pinto Teles, 1195 -  Vila Valqueire, Rio de Janeiro - RJ",259.000,,"
                65
              ","2
","2
","1
"
"Avenida Salvador Allende, 490 - Barra da Tijuca, Rio de Janeiro - RJ",269.000,550,"
                54
              ","2
","2
","1
"
"Avenida Prefeito Dulcídio Cardoso, 3080 - Barra da Tijuca, Rio de Janeiro - RJ",2.400.000,1.822,"
                225
              ","3
","3
","2
"
"Rua Leopoldino Bastos, 44 - Engenho Novo, Rio de Janeiro - RJ",210.000,591,"
                56
              ","2
","1
","1
"
"Avenida das Acácias da Península, 280 - Barra da Tijuca, Rio de Janeiro - RJ",2.149.850,2.390,"
                180
              ","4
","4
","3
"
"Rua Altinópolis -  Praia da Bandeira, Rio de Janeiro - RJ",330.000,332,"
                78
              ","2
","2
","1
"
"Avenida Embaixador Abelardo Bueno - Barra da Tijuca, Rio de Janeiro - RJ",180.000,,"
                27
              ","--
","--
","--
"
"Avenida Ernani Cardoso, 94 - Cascadura, Rio de Janeiro - RJ",255.000,460,"
                47
              ","2
","1
","1
"
"Barra da Tijuca, Rio de Janeiro - RJ",7.200.000,2.800,"
                778
              ","5
","9
","6
"
"Avenida Guilherme de Almeida - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",435.000,850,"
                89
              ","2
","1
","2
"
"Rua Barata Ribeiro - Copacabana, Rio de Janeiro - RJ",530.000,712,"
                40
              ","1
","1
","--
"
"Rua Humberto de Campos - Leblon, Rio de Janeiro - RJ",4.800.000,2.250,"
                230
              ","3
","3
","1
"
"Rua Mirinduba, 240 - Honório Gurgel, Rio de Janeiro - RJ",190.000,,"
                90
              ","2
","1
","--
"
"Rua Mário Covas Júnior - Barra da Tijuca, Rio de Janeiro - RJ",770.000,1.058,"
                76
              ","3
","3
","1
"
"Rua Armando Santos, 200 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.895.000,900,"
                400
              ","5
","7
","3
"
"Rua Escritor Rodrigo Melo Franco, 400 - Barra da Tijuca, Rio de Janeiro - RJ",2.350.000,1.400,"
                240
              ","3
","4
","2
"
"Rua B, 20 - Paciência, Rio de Janeiro - RJ",260.000,,"
                262
              ","3
","2
","3
"
"Avenida Vice-Presidente José Alencar, 1515 - Barra da Tijuca, Rio de Janeiro - RJ",600.000,1.241,"
                76
              ","2
","2
","1
"
"Avenida Di Cavalcanti, 111 - Barra da Tijuca, Rio de Janeiro - RJ",669.000,999,"
                68
              ","2
","1
","1
"
"Avenida Venezuela, 275 - Santo Cristo, Rio de Janeiro - RJ",405.000,400,"
                51
              ","2
","1
","1
"
"Ipanema, Rio de Janeiro - RJ",1.090.000,945,"
                48
              ","1
","1
","1
"
"Rua Hilário de Gouveia - Copacabana, Rio de Janeiro - RJ",850.000,688,"
                70
              ","2
","3
","1
"
"Rua Theodorino Rodrigues Pereira - Barra da Tijuca, Rio de Janeiro - RJ",3.950.000,1.500,"
                830
              ","7
","12
","5
"
"Rua Nascimento Silva - Ipanema, Rio de Janeiro - RJ",1.050.000,1.037,"
                110
              ","3
","2
","1
"
"Barra da Tijuca, Rio de Janeiro - RJ",4.200.000,2.000,"
                1000
              ","5
","2
","5
"
"Rua Maria Amália - Tijuca, Rio de Janeiro - RJ",436.500,650,"
                61
              ","2
","2
","1
"
"Rua Martins Ribeiro - Flamengo, Rio de Janeiro - RJ",670.000,820,"
                88
              ","3
","2
","1
"
"Rua Jaburana, 10 - Jardim Carioca, Rio de Janeiro - RJ",250.000,400,"
                68
              ","2
","2
","1
"
"Rua Visconde de Silva - Humaitá, Rio de Janeiro - RJ",1.190.000,1.200,"
                101
              ","3
","2
","1
"
"Rua Tenente Franca, 71 - Cachambi, Rio de Janeiro - RJ",435.000,600,"
                66
              ","2
","2
","1
"
"Estrada da Gávea - São Conrado, Rio de Janeiro - RJ",2.850.000,2.617,"
                207
              ","4
","3
","1
"
"Rua Geminiano Gois, 350 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",655.000,890,"
                97
              ","4
","3
","2
"
"Rua Silvia Pozzano - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.359.000,1.850,"
                181
              ","3
","2
","2
"
"Estrada do Realengo - Realengo, Rio de Janeiro - RJ",358.500,,"
                101
              ","2
","4
","1
"
"Rua Benjamim Magalhães - Barra da Tijuca, Rio de Janeiro - RJ",3.299.000,900,"
                315
              ","6
","7
","2
"
"Rua Franz Weissman - Jacarepaguá, Rio de Janeiro - RJ",1.199.000,,"
                122
              ","3
","3
","--
"
"Rua Pinto Teles, 1195 -  Vila Valqueire, Rio de Janeiro - RJ",259.000,,"
                65
              ","2
","2
","1
"
"Avenida Salvador Allende, 490 - Barra da Tijuca, Rio de Janeiro - RJ",269.000,550,"
                54
              ","2
","2
","1
"
"Avenida Prefeito Dulcídio Cardoso, 3080 - Barra da Tijuca, Rio de Janeiro - RJ",2.400.000,1.822,"
                225
              ","3
","3
","2
"
"Rua Leopoldino Bastos, 44 - Engenho Novo, Rio de Janeiro - RJ",210.000,591,"
                56
              ","2
","1
","1
"
"Avenida das Acácias da Península, 280 - Barra da Tijuca, Rio de Janeiro - RJ",2.149.850,2.390,"
                180
              ","4
","4
","3
"
"Rua Altinópolis -  Praia da Bandeira, Rio de Janeiro - RJ",330.000,332,"
                78
              ","2
","2
","1
"
"Avenida Embaixador Abelardo Bueno - Barra da Tijuca, Rio de Janeiro - RJ",180.000,,"
                27
              ","--
","--
","--
"
"Avenida Ernani Cardoso, 94 - Cascadura, Rio de Janeiro - RJ",255.000,460,"
                47
              ","2
","1
","1
"
"Barra da Tijuca, Rio de Janeiro - RJ",7.200.000,2.800,"
                778
              ","5
","9
","6
"
"Avenida Guilherme de Almeida - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",435.000,850,"
                89
              ","2
","1
","2
"
"Rua Barata Ribeiro - Copacabana, Rio de Janeiro - RJ",530.000,712,"
                40
              ","1
","1
","--
"
"Rua Humberto de Campos - Leblon, Rio de Janeiro - RJ",4.800.000,2.250,"
                230
              ","3
","3
","1
"
"Rua Mirinduba, 240 - Honório Gurgel, Rio de Janeiro - RJ",190.000,,"
                90
              ","2
","1
","--
"
"Rua Mário Covas Júnior - Barra da Tijuca, Rio de Janeiro - RJ",770.000,1.058,"
                76
              ","3
","3
","1
"
"Rua Armando Santos, 200 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.895.000,900,"
                400
              ","5
","7
","3
"
"Rua Escritor Rodrigo Melo Franco, 400 - Barra da Tijuca, Rio de Janeiro - RJ",2.350.000,1.400,"
                240
              ","3
","4
","2
"
"Rua B, 20 - Paciência, Rio de Janeiro - RJ",260.000,,"
                262
              ","3
","2
","3
"
"Avenida Vice-Presidente José Alencar, 1515 - Barra da Tijuca, Rio de Janeiro - RJ",600.000,1.241,"
                76
              ","2
","2
","1
"
"Recreio Dos Bandeirantes, Rio de Janeiro - RJ",560.000,1.200,"
                82
              ","3
","2
","2
"
"Rua Gilberto Freire, 310 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",549.000,900,"
                70
              ","2
","1
","1
"
"Rua Conde Lages, 54 - Glória, Rio de Janeiro - RJ",630.000,800,"
                58
              ","1
","1
","1
"
"Rua João Borges - Gávea, Rio de Janeiro - RJ",2.850.000,,"
                308
              ","3
","6
","2
"
"Avenida General Olyntho Pillar - Barra da Tijuca, Rio de Janeiro - RJ",825.001,1.650,"
                100
              ","2
","3
","1
"
"Avenida João Cabral de Mello Neto - Barra da Tijuca, Rio de Janeiro - RJ","1.450
",,"
                36
              ","--
","1
","1
"
"Campo Grande, Rio de Janeiro - RJ",170.000,,"
                218
              ","--
","--
","2
"
"Rua do Humaitá - Humaitá, Rio de Janeiro - RJ",570.000,450,"
                80
              ","3
","2
","1
"
"Avenida Nossa Senhora de Copacabana - Copacabana, Rio de Janeiro - RJ",1.290.000,1.550,"
                190
              ","3
","4
","--
"
"Estrada do Monteiro, 323 - Campo Grande, Rio de Janeiro - RJ",289.000,700,"
                76
              ","2
","2
","1
"
"Rua Marquês de São Vicente - Gávea, Rio de Janeiro - RJ",1.690.000,1.750,"
                110
              ","3
","4
","1
"
"Rua Assis Brasil - Copacabana, Rio de Janeiro - RJ",1.900.000,,"
                145
              ","4
","3
","3
"
"Rua Carlos Gois - Leblon, Rio de Janeiro - RJ",3.700.000,,"
                120
              ","2
","4
","1
"
"Campo Grande, Rio de Janeiro - RJ",365.000,,"
                120
              ","3
","3
","1
"
"Madureira, Rio de Janeiro - RJ","600
",407,"
                55
              ","2
","2
","--
"
"Rua Raul Pompéia, 132 - Copacabana, Rio de Janeiro - RJ",1.530.000,1.533,"
                163
              ","3
","3
","1
"
"Rua Samoa - Vila da Penha, Rio de Janeiro - RJ",890.000,,"
                354
              ","5
","4
","5
"
"Avenida Rui Barbosa, 170 - Flamengo, Rio de Janeiro - RJ",3.300.000,,"
                149
              ","3
","2
","2
"
"Avenida Flamboyants da Península, 100 - Barra da Tijuca, Rio de Janeiro - RJ",1.150.000,1.600,"
                91
              ","3
","3
","1
"
"Freguesia- Jacarepaguá, Rio de Janeiro - RJ",650.000,980,"
                100
              ","3
","2
","1
"
"Rua Artur Araripe - Gávea, Rio de Janeiro - RJ",2.390.000,2.300,"
                138
              ","3
","4
","2
"
"Estrada dos Bandeirantes, 7277 - Jacarepaguá, Rio de Janeiro - RJ",255.000,450,"
                48
              ","2
","1
","1
"
"Ipanema, Rio de Janeiro - RJ",1.800.000,1.100,"
                130
              ","3
","2
","--
"
"Rua Souza Lima - Copacabana, Rio de Janeiro - RJ","3.000
",3.300,"
                202
              ","3
","2
","1
"
"Avenida das Américas, 10002 - Barra da Tijuca, Rio de Janeiro - RJ",4.040.267,3.484,"
                268
              ","4
","5
","4
"
"Méier, Rio de Janeiro - RJ",465.000,750,"
                85
              ","3
","3
","1
"
"Rua Barão da Torre - Ipanema, Rio de Janeiro - RJ",1.890.000,1.550,"
                116
              ","3
","3
","2
"
"Avenida Prefeito Dulcídio Cardoso, 400 - Barra da Tijuca, Rio de Janeiro - RJ",2.950.000,3.500,"
                300
              ","4
","3
","2
"
"Rua Pompeu Loureiro, 134 - Copacabana, Rio de Janeiro - RJ",750.000,1.200,"
                65
              ","2
","2
","--
"
"Ipanema, Rio de Janeiro - RJ",2.790.000,2.880,"
                157
              ","3
","5
","1
"
"Rua Humberto de Campos - Leblon, Rio de Janeiro - RJ",3.680.000,3.477,"
                157
              ","4
","5
","2
"
"Cosme Velho, Rio de Janeiro - RJ",1.100.000,1.427,"
                110
              ","3
","1
","2
"
"Avenida Rio Branco - Centro, Rio de Janeiro - RJ",320.000,,"
                60
              ","--
","1
","--
"
"Méier, Rio de Janeiro - RJ",370.000,,"
                70
              ","2
","1
","1
"
"Rua Alfredo Ceschiatti, 2200 - Jacarepaguá, Rio de Janeiro - RJ",515.000,10,"
                70
              ","2
","2
","1
"
"Avenida Oswaldo Cruz, 99 - Flamengo, Rio de Janeiro - RJ",920.000,780,"
                110
              ","2
","2
","1
"
"Avenida Lúcio Costa, 3604 - Barra da Tijuca, Rio de Janeiro - RJ",3.725.000,3.100,"
                185
              ","4
","4
","3
"
"Estrada Pau da Fome, 1361 - Jacarepaguá, Rio de Janeiro - RJ",420.000,,"
                220
              ","3
","3
","3
"
"Rua Engenheiro Julião Castelo, 264 - Méier, Rio de Janeiro - RJ",700.000,,"
                250
              ","5
","2
","3
"
"Rua Bolivar - Copacabana, Rio de Janeiro - RJ",1.150.000,1.290,"
                146
              ","3
","2
","1
"
"Largo do Machado - Catete, Rio de Janeiro - RJ",378.000,600,"
                45
              ","1
","1
","--
"
"Rua Conceiçao das Alagoas, 100 - Campo Grande, Rio de Janeiro - RJ",205.000,,"
                120
              ","2
","1
","1
"
"Rua Agrolândia - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",1.100.000,950,"
                134
              ","4
","4
","2
"
"Rua Odilon Araújo, 155 - Cachambi, Rio de Janeiro - RJ",485.000,250,"
                216
              ","2
","1
","1
"
"Rua Magalhães Couto - Méier, Rio de Janeiro - RJ",330.000,690,"
                75
              ","2
","1
","1
"
"Rua Itua, 1 - Jardim Guanabara, Rio de Janeiro - RJ",500.000,550,"
                70
              ","2
","2
","1
"
"Rua Alfredo Ceschiatti, 100 - Barra da Tijuca, Rio de Janeiro - RJ",750.000,2.399,"
                158
              ","2
","3
","2
"
"Copacabana, Rio de Janeiro - RJ",870.000,828,"
                80
              ","3
","2
","1
"
"Rua Taylor - Centro, Rio de Janeiro - RJ",460.000,467,"
                80
              ","2
","1
","--
"
"Rua Domingos Ferreira, 86 - Copacabana, Rio de Janeiro - RJ",6.980.000,,"
                260
              ","--
","2
","1
"
"Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.400.000,,"
                230
              ","3
","5
","4
"
"Estrada Coronel Pedro Corrêa, 130 - Barra da Tijuca, Rio de Janeiro - RJ",398.500,550,"
                56
              ","2
","2
","1
"
"Rua Almirante Ary Rongel, 291 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",695.000,1.100,"
                111
              ","3
","3
","2
"
"Copacabana, Rio de Janeiro - RJ",340.000,480,"
                36
              ","1
","1
","--
"
"Avenida Atlântica - Copacabana, Rio de Janeiro - RJ",595.000,1.100,"
                64
              ","2
","2
","--
"
"Rua Viúva Lacerda - Humaitá, Rio de Janeiro - RJ",755.000,,"
                80
              ","2
","2
","1
"
"Pechincha, Rio de Janeiro - RJ",550.000,900,"
                130
              ","2
","2
","2
"
"Barra da Tijuca, Rio de Janeiro - RJ",8.500.000,2.344,"
                767
              ","5
","10
","4
"
"Rua Professor Gabizo - Tijuca, Rio de Janeiro - RJ",525.000,,"
                200
              ","--
","2
","1
"
"Rua General Sidônio Dias Correia - Barra da Tijuca, Rio de Janeiro - RJ",4.500.000,4.000,"
                550
              ","4
","7
","3
"
"Rua Piraquara, 100 - Realengo, Rio de Janeiro - RJ",144.000,,"
                50
              ","1
","1
","--
"
"Rua Marquês de Paraná, 0 - Flamengo, Rio de Janeiro - RJ",640.000,1.200,"
                86
              ","2
","2
","--
"
"Rua da Assembléia, 77 - Centro, Rio de Janeiro - RJ",1.000.000,,"
                300
              ","--
","4
","--
"
"Rua Barão da Torre - Ipanema, Rio de Janeiro - RJ",1.850.000,418,"
                195
              ","3
","3
","--
"
"Estrada do Rio Grande, 390 - Taquara, Rio de Janeiro - RJ",245.000,,"
                60
              ","2
","1
","1
"
"Rua Roberto Dias Lópes - Leme, Rio de Janeiro - RJ",990.000,873,"
                88
              ","2
","3
","1
"
"Avenida Assis Chateaubriand, WIMBLEDON PARK - Barra da Tijuca, Rio de Janeiro - RJ",21.999.999,6.000,"
                1000
              ","5
","6
","8
"
"Rua Visconde de Pirajá, 550 - Ipanema, Rio de Janeiro - RJ",750.000,,"
                31
              ","2
","1
","1
"
"Rua Presidente Alfonso López, 35 - Copacabana, Rio de Janeiro - RJ",1.535.000,1.800,"
                100
              ","3
","3
","1
"
"Rua Visconde de Duprat - Cidade Nova, Rio de Janeiro - RJ",370.000,757,"
                62
              ","2
","2
","1
"
"Copacabana, Rio de Janeiro - RJ",1.180.000,900,"
                88
              ","3
","2
","1
"
"Rua Professor Motta Maia, 0 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",650.000,1.048,"
                79
              ","3
","3
","1
"
"Rua Professor Motta Maia, 0 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",650.000,1.048,"
                79
              ","3
","3
","1
"
"Rua Alberto de Campos - Ipanema, Rio de Janeiro - RJ",1.150.000,880,"
                75
              ","2
","3
","1
"
"Botafogo, Rio de Janeiro - RJ",570.000,1.062,"
                65
              ","2
","1
","--
"
"Tijuca, Rio de Janeiro - RJ",950.000,550,"
                119
              ","3
","3
","--
"
"Copacabana, Rio de Janeiro - RJ",1.800.000,2.250,"
                159
              ","3
","3
","1
"
"Rua Atilia, 41 - Centro, Rio de Janeiro - RJ",409.900,499,"
                46
              ","2
","2
","1
"
"Avenida Borges de Medeiros, 3669 - Lagoa, Rio de Janeiro - RJ",9.900.000,4.590,"
                495
              ","4
","3
","4
"
"Rua César Lattes, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",890.000,1.300,"
                80
              ","3
","3
","1
"
"Rua Retiro dos Artistas, 739 - Jacarepaguá, Rio de Janeiro - RJ",670.000,,"
                115
              ","2
","3
","1
"
"Rua das Laranjeiras, 0 - Laranjeiras, Rio de Janeiro - RJ",1.840.000,2.026,"
                230
              ","3
","3
","1
"
"Freguesia, Rio de Janeiro - RJ",440.000,480,"
                80
              ","2
","2
","1
"
"Rua Barão do Flamengo - Flamengo, Rio de Janeiro - RJ",450.000,380,"
                45
              ","1
","1
","--
"
"Tijuca, Rio de Janeiro - RJ",490.000,450,"
                89
              ","3
","2
","1
"
"Rua Barão de Itapagipe - Rio Comprido, Rio de Janeiro - RJ",600.000,850,"
                70
              ","3
","2
","1
"
"Rua Jorge Dodsworth Martins, 430 - Barra da Tijuca, Rio de Janeiro - RJ",3.590.000,750,"
                360
              ","4
","6
","3
"
"Rua Mário Milward, 15 - Barra da Tijuca, Rio de Janeiro - RJ",3.300.000,1.220,"
                470
              ","4
","4
","2
"
"Barra da Tijuca, Rio de Janeiro - RJ",5.900.000,5.400,"
                400
              ","4
","5
","3
"
"Rua Visconde de Pirajá, 287 - Ipanema, Rio de Janeiro - RJ",1.975.000,2.000,"
                111
              ","3
","2
","1
"
"Estrada Santa Maura, 900 - Curicica, Rio de Janeiro - RJ",210.000,600,"
                45
              ","2
","1
","1
"
"Rua Brasília, 20 - Barra da Tijuca, Rio de Janeiro - RJ",2.200.000,1.800,"
                166
              ","4
","3
","4
"
"Avenida Presidente Vargas, 482 - Centro, Rio de Janeiro - RJ","800
",,"
                56
              ","--
","1
","--
"
"Rua Paulo César de Andrade - Laranjeiras, Rio de Janeiro - RJ",2.500.000,2.008,"
                290
              ","3
","2
","1
"
"Rua Paula Freitas, 0 - Copacabana, Rio de Janeiro - RJ",480.000,480,"
                50
              ","1
","1
","--
"
"Rua Osório de Almeida - Urca, Rio de Janeiro - RJ",3.000.000,,"
                210
              ","5
","2
","2
"
"Avenida Bartolomeu Mitre - Leblon, Rio de Janeiro - RJ",1.600.000,1.000,"
                90
              ","3
","2
","--
"
"Avenida Rio Branco, 123 - Centro, Rio de Janeiro - RJ","1.800
",,"
                130
              ","--
","2
","--
"
"Avenida dos Mananciais - Taquara, Rio de Janeiro - RJ",260.000,440,"
                61
              ","2
","2
","1
"
"Barra da Tijuca, Rio de Janeiro - RJ",7.899.993,1.800,"
                600
              ","5
","7
","--
"
"Rua Castro Alves, 65 - Méier, Rio de Janeiro - RJ",248.850,,"
                300
              ","2
","1
","--
"
"Rua Peri, 281 - Jardim Botânico, Rio de Janeiro - RJ",5.900.000,,"
                316
              ","4
","2
","2
"
"Rua Sanharó, 987 - Jardim Oceanico, Rio de Janeiro - RJ",2.100.000,1.242,"
                162
              ","3
","3
","2
"
"Rua Intendente Cunha Menezes - Méier, Rio de Janeiro - RJ",220.000,390,"
                48
              ","1
","1
","1
"
"Rua Pinheiro Guimarães, 75 - Botafogo, Rio de Janeiro - RJ",2.159.000,1.100,"
                130
              ","3
","2
","2
"
"Rua Barão de Lucena, 124 - Botafogo, Rio de Janeiro - RJ",1.100.000,815,"
                78
              ","2
","2
","1
"
"Rua Timóteo da Costa - Leblon, Rio de Janeiro - RJ",3.150.000,1.850,"
                180
              ","4
","3
","3
"
"Rua Fadel Fadel, 40 - Leblon, Rio de Janeiro - RJ",1.800.000,1.600,"
                88
              ","3
","1
","1
"
"Rua Vicente Leporace, 0 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",850.000,954,"
                111
              ","3
","2
","2
"
"Estrada dos Bandeirantes - Vargem Pequena, Rio de Janeiro - RJ",770.000,,"
                350
              ","4
","4
","4
"
"Avenida das Américas - Barra da Tijuca, Rio de Janeiro - RJ",6.000.000,1.750,"
                1000
              ","6
","8
","--
"
"Rua Coronel Aviador Antônio Arthur Braga - Barra da Tijuca, Rio de Janeiro - RJ",2.100.000,1.900,"
                194
              ","4
","4
","3
"
"Avenida Prado Júnior - Copacabana, Rio de Janeiro - RJ",325.000,340,"
                27
              ","1
","1
","--
"
"Rua Miguel Cardoso - Encantado, Rio de Janeiro - RJ",360.000,,"
                214
              ","3
","2
","1
"
"Estrada dos Caboclos, 1285 - Campo Grande, Rio de Janeiro - RJ",60.000,50,"
                53
              ","2
","1
","1
"
"Estrada do Guanumbi - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",570.000,800,"
                74
              ","2
","3
","1
"
"Rua Sacopa - Lagoa, Rio de Janeiro - RJ",2.780.000,1.872,"
                214
              ","4
","3
","2
"
"Avenida Luiz Aranha, 890 - Barra da Tijuca, Rio de Janeiro - RJ",1.190.000,1.650,"
                110
              ","3
","3
","2
"
"Rua Gago Coutinho - Laranjeiras, Rio de Janeiro - RJ",750.000,990.000,"
                75
              ","3
","2
","--
"
"Rua Barão do Bom Retiro - Grajaú, Rio de Janeiro - RJ",350.000,,"
                51
              ","2
","2
","--
"
"Rua Manoel Boucher Pinto - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.900.000,,"
                293
              ","4
","4
","4
"
"Rua das Dálias, 81 -  Vila Valqueire, Rio de Janeiro - RJ",900.000,2.100,"
                365
              ","4
","3
","2
"
"Rua Santa Clara - Copacabana, Rio de Janeiro - RJ",2.330.000,1.400,"
                166
              ","4
","4
","1
"
"Avenida Maracanã - Tijuca, Rio de Janeiro - RJ",895.000,1.580,"
                145
              ","3
","2
","2
"
"Cosme Velho, Rio de Janeiro - RJ",2.990.000,1.200,"
                402
              ","5
","1
","1
"
"Estrada dos Bandeirantes, 6365 - Curicica, Rio de Janeiro - RJ",290.000,600,"
                62
              ","2
","1
","1
"
"Avenida Henfil, 25 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",650.000,960,"
                82
              ","2
","2
","1
"
"Freguesia- Jacarepaguá, Rio de Janeiro - RJ",415.000,528,"
                62
              ","2
","2
","1
"
"Rua Engenheiro Haroldo Cavalcanti, 265 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",795.000,720,"
                105
              ","3
","3
","2
"
"Avenida Jarbas de Carvalho, 1471 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",759.000,1.230,"
                171
              ","3
","4
","3
"
"Avenida das Américas, 7837 - Barra da Tijuca, Rio de Janeiro - RJ",2.800.000,,"
                260
              ","4
","3
","3
"
"Rua Anita Garibaldi, 22 - Copacabana, Rio de Janeiro - RJ",285.000,480,"
                22
              ","1
","1
","--
"
"Avenida das Américas - Barra da Tijuca, Rio de Janeiro - RJ",2.350.000,750,"
                320
              ","5
","6
","2
"
"Gávea, Rio de Janeiro - RJ",993.000,1.360,"
                93
              ","3
","3
","1
"
"Rua Desembargador Roberto Medeiros, 413 - Barra da Tijuca, Rio de Janeiro - RJ",4.900.000,2.300,"
                751
              ","4
","4
","7
"
"Avenida Aquarela do Brasil - São Conrado, Rio de Janeiro - RJ",1.650.000,2.400,"
                166
              ","4
","3
","2
"
"Estrada do Galeão, 2424 - Ilha do Governador, Rio de Janeiro - RJ",885.000,200,"
                184
              ","4
","2
","2
"
"Rua Marquês de Olinda, 36 - Botafogo, Rio de Janeiro - RJ",1.995.000,1.350,"
                125
              ","3
","3
","2
"
"Rua Padre Ildefonso Penalba, 388 - Méier, Rio de Janeiro - RJ",850.000,,"
                160
              ","4
","3
","3
"
"Avenida Jornalista Ricardo Marinho, 450 - Barra da Tijuca, Rio de Janeiro - RJ",640.000,1.100,"
                71
              ","1
","2
","1
"
"Botafogo, Rio de Janeiro - RJ",990.000,716,"
                90
              ","2
","3
","1
"
"Estrada Iaraqua, 595 - Campo Grande, Rio de Janeiro - RJ",650.000,507,"
                240
              ","3
","4
","3
"
"Rua Timóteo da Costa - Leblon, Rio de Janeiro - RJ",4.300.000,1.900,"
                300
              ","3
","4
","2
"
"Rua Doutor Crespo - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",822.983,,"
                154
              ","3
","4
","2
"
"Rua Nascimento Silva, 0 - Ipanema, Rio de Janeiro - RJ",1.550.000,1.500,"
                76
              ","1
","2
","1
"
"Rua Franco Zampari, 111 - Jacarepaguá, Rio de Janeiro - RJ",636.900,980,"
                93
              ","3
","3
","1
"
"Rua Araguaia - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",462.000,870,"
                93
              ","3
","3
","1
"
"Avenida Nossa Senhora de Copacabana - Copacabana, Rio de Janeiro - RJ",200.000,638,"
                22
              ","1
","1
","--
"
